model,condition,b_full_only,c_mode_only,p_value
gpt-oss-120b,no_cpg,7,2,0.1796875
gpt-oss-120b,no_simplify,5,2,0.453125
gpt-oss-120b,no_cpg_no_simplify,8,2,0.109375
gpt-oss-20b,no_cpg,10,1,0.01171875
gpt-oss-20b,no_simplify,13,0,0.000244140625
gpt-oss-20b,no_cpg_no_simplify,7,1,0.0703125
llama-3.3-70b,no_cpg,11,1,0.00634765625
llama-3.3-70b,no_simplify,1,3,0.625
llama-3.3-70b,no_cpg_no_simplify,11,1,0.00634765625
qwen3-32b,no_cpg,13,1,0.0018310546875
qwen3-32b,no_simplify,2,2,1.0
qwen3-32b,no_cpg_no_simplify,10,1,0.01171875
